dictionary_id	entry	slug	source_filename
308	otodai	otodai	otodai.wav
308	otodai	otodai	otodai.webm
312	pao pega	pao-pega	paopega.wav
313	paro1	paro1	paro.wav
314	paro2	paro2	paro.wav
315	parudo	parudo	parudo.webm
317	peagodu	peagodu	peagoduwo.wav
322	pegajejewu	pegajejewu	pegajejewu.webm
324	pego2	pego2	pego1.wav
324	pego2	pego2	pegore.wav
325	pegodu	pegodu	ipegoduwo.wav
326	pemega	pemega	pemega.webm
327	piora	piora	piora.webm
328	pipi	pipi	pipi.webm
329	pirogo	pirogo	pirogo.wav
329	pirogo	pirogo	pirogu01.wav
330	poari (powari)	poari-powari	poari.wav
330	poari (powari)	poari-powari	powari.webm
332	pobe metuia bokware	pobe-metuia-bokware	pobeMetuiaBokware.wav
333	pobe puibiji	pobe-puibiji	pobePuibiji.wav
335	pobogo	pobogo	pobogo.wav
339	pogurure	pogurure	pogurure.webm
340	poru	poru	iporu.wav
341	poru (pl. porue)	poru-pl-porue	iporu.wav
342	puduga	puduga	puduga.webm
343	pugeje	pugeje	pugeje.webm
344	purekudu	purekudu	purekudu.webm
344	purekudu	purekudu	purekudu01.webm
345	ra (rade)	ra-rade	ra.wav
345	ra (rade)	ra-rade	ra.webm
345	ra (rade)	ra-rade	ra03.wav
346	ra (rare)	ra-rare	ra.wav
346	ra (rare)	ra-rare	ra.webm
346	ra (rare)	ra-rare	ra03.wav
347	ra1	ra1	ra.wav
347	ra1	ra1	ra.webm
347	ra1	ra1	ra03.wav
348	ra2	ra2	ra.wav
348	ra2	ra2	ra.webm
348	ra2	ra2	ra03.wav
349	raka	raka	raka.webm
350	rakakare	rakakare	rakakare.webm
351	rakare	rakare	rakare.webm
352	raru	raru	raru01.wav
352	raru	raru	raru02.wav
353	rawuje	rawuje	rawuje.webm
354	rekodaji	rekodaji	redodaji.webm
355	remagu	remagu	remagu.webm
356	remaguda	remaguda	remagu.webm
357	reore (reure)	reore-reure	reore.webm
358	rerakare	rerakare	rerakare.wav
359	reru	reru	reru.webm
360	ri	ri	ri.webm
361	ri (vrt. de ru)	ri-vrt-de-ru	ri.webm
362	riboa	riboa	riboa.webm
363	ricodo	ricodo	ricodo.webm
365	rore	rore	rore.webm
365	rore	rore	rore02.wav
367	ru2	ru2	ru.webm
368	rugodu	rugodu	rugoduwo.wav
369	rugudu	rugudu	rugudu.webm
370	ruke	ruke	ruke.wav
371	rutu	rutu	rutu.webm
371	rutu	rutu	ruture.wav
372	rutureboe	rutureboe	rutureboe.webm
373	ruwobo	ruwobo	ruwobo.webm
375	tapiradoge	tapiradoge	tapiradoge.webm
376	taroe	taroe	taroe.wav
376	taroe	taroe	taroe01.wav
377	tobaro	tobaro	tobaro.webm
378	tori	tori	tori.webm
380	tori kurirewu	tori-kurirewu	toriKurirewu.wav
381	toriga	toriga	toriga.webm
382	towuje (vrt. to)	towuje-vrt-to	towuje.webm
382	towuje (vrt. to)	towuje-vrt-to	towuje01.webm
383	tu	tu	tu.webm
384	tu	tu	tu.webm
385	tuda	tuda	tuda.webm
386	tudaru	tudaru	tudaru.webm
387	tugo	tugo	tugo01.wav
389	tumugudo keje	tumugudo-keje	tumugudokeje.wav
391	tuwe	tuwe	tuwe.wav
392	tuwotuwu	tuwotuwu	tuwoTuwu.wav
395	utu	utu	utu.webm
396	uwai (pl. uwae)	uwai-pl-uwae	uwai.webm
397	uwobe	uwobe	uwobe.webm
399	boe kaguru	boe-kaguru	boekaguru.webm
528	ako 1	ako-1	ako03.webm
644	aparewu	aparewu	aparewu.webm
758	ataro (otaro)	ataro-otaro	otaro.wav
851	baiga kobore	baiga-kobore	baigakobore.webm
858	baiporo epa	baiporo-epa	baiporo_epa.webm
1021	beregodu	beregodu	beregodu.webm
1111	birikedo	birikedo	birikedore.wav
1249	boe kori 1	boe-kori-1	boe_kori.webm
1250	boe kori 2	boe-kori-2	boe_kori.webm
1329	bokodu	bokodu	bokodure.wav
1341	bopona	bopona	bopona.wav
1351	boro1	boro1	boro.wav
1352	boro2	boro2	boro.wav
1573	joku bokwa	joku-bokwa	joku_bokwa.webm
1988	ipori (kaibori)	ipori-kaibori	kaibori01.wav
2008	itaga	itaga	itaga.wav
2156	jawu ji	jawu-ji	jawuji01.wav
2165	je tadawu	je-tadawu	je_tadawu.webm
2377	jiri	jiri	jirire.wav
2513	kabi	kabi	kabi.wav
2564	kaia	kaia	kaia.wav
2579	kajeje	kajeje	kajeje.webm
2594	kana pemegarewu jaogwai	kana-pemegarewu-jaogwai	ikanaPemegarewuJaogwai.wav
2839	kodo	kodo	kodo.wav
2990	kowu	kowu	kowu.webm
3154	kukaga	kukaga	kukaga.wav
3196	kuri je	kuri-je	kuri_je.webm
3208	kuridogedu (sing. de kuridoge)	kuridogedu-sing-de-kuridoge	x
3285	kurugutugu	kurugutugu	kurugutugu.wav
3308	maegodu (maekodu)	maegodu-maekodu	maegoduOino.wav
3540	metugu	metugu	metugu.wav
3548	micigu	micigu	micigu.webm
3591	moto ri1	moto-ri1	motoRi.wav
3592	motori2	motori2	motoRi.wav
3778	okwabi	okwabi	okwabi.webm
3837	okwamu	okwamu	inogwamu_ji.webm
3858	bokwaro	bokwaro	bokwaro.wav
3876	onaregedu (pl. ore, onarege)	onaregedu-pl-ore-onarege	x
3918	oredu	oredu	inoredumodeTabo.wav
3918	oredu	oredu	oredure.webm
3927	oroe	oroe	inoroeJa.webm
3927	oroe	oroe	inoroe_ja.webm
4116	pegodo	pegodo	pegodo.webm
4128	peguru	peguru	peguru02.webm
4255	poguru	poguru	poguru.wav
4300	pugao	pugao	pugao.wav
4405	reko (rekodu)	reko-rekodu	reko_mato.webm
4615	tada	tada	tada.webm
4616	tada	tada	tada.webm
4636	tapira imedu	tapira-imedu	tapira_imedu.webm
4676	torikodu	torikodu	tori_kodu.webm
4679	toriwudu	toriwudu	toriwudu.webm
4818	amo	amo	amo.wav
4821	aturigigodure	aturigigodure	atsrigigodure.wav
